,property_ref,scraped_at,bedrooms,bathrooms,type,area,sub_area,has_bq,is_furnished,in_estate,security,serviced,luxury_features,price
9934,3424402,2026-04-16 00:36:05.017551+00:00,3,3,flat,Lekki,Lekki Phase 1,False,True,True,True,True,3,15000000.0
9935,3424397,2026-04-16 00:36:05.020384+00:00,3,3,terrace,Lekki,Ikate,True,False,True,True,True,0,12000000.0
9936,3424394,2026-04-16 00:36:05.023222+00:00,2,3,flat,Lekki,Lekki Phase 1,False,False,True,True,True,2,14000000.0
9937,3424388,2026-04-16 00:36:05.025862+00:00,2,2,flat,Lekki,Ologolo,False,False,False,True,True,0,8000000.0
9938,3424385,2026-04-16 00:36:05.027558+00:00,3,3,flat,Victoria Island (VI),Oniru,False,False,True,True,True,0,25000000.0
9939,3424380,2026-04-16 00:36:05.029188+00:00,3,3,terrace,Lekki,Ikate,False,False,False,False,True,0,9000000.0
9940,3424372,2026-04-16 00:36:05.030784+00:00,2,2,flat,Lekki,Lekk,False,False,False,True,True,0,6000000.0
9941,3424368,2026-04-16 00:36:05.032501+00:00,4,4,terrace,Lekki,Lekki Phase 2,False,False,True,True,True,0,9000000.0
9942,3424365,2026-04-16 00:36:05.034165+00:00,2,2,flat,Ajah,Badore,False,False,False,True,True,0,3000000.0
9943,3424363,2026-04-16 00:36:05.035955+00:00,5,5,duplex,Lekki,Ologolo,True,False,False,True,False,0,14000000.0
9944,3424298,2026-04-16 00:36:05.043146+00:00,5,5,duplex,Agege,Fagba,True,False,True,True,False,0,10000000.0
9945,3424270,2026-04-16 00:36:05.046281+00:00,2,2,flat,Lekki,Vgc,False,False,False,False,False,0,5500000.0
9946,3424266,2026-04-16 00:36:05.047892+00:00,3,3,flat,Lekki,Ikate,False,False,False,False,True,0,6500000.0
9947,3424239,2026-04-16 00:36:05.049624+00:00,3,4,flat,Lekki,Ilasan,False,False,False,True,False,0,10000000.0
9948,3371099,2026-04-16 01:24:59.333440+00:00,3,3,flat,Ikeja,Shonibare Estate,False,True,False,True,False,0,25000000.0
